actuator's  autocrat's
sparsest  trespass
repasts  sparest
prates  repast tapers
patters  spatter tapster
payers  repays
prate  taper
apery  payer repay
apes  apse peas
pastes  spates stapes
paste  septa spate tapes
pate  peat tape
quartets  squatter
are  ear era
rare  rear
restarts  starters
arrest  rarest raster
restart  starter
arse  ears eras sear sera
assert  asters stares
swears  wrasse
aster  rates stare tears
taster  treats
averts  starve vaster
rawest  waster waters
avers  raves saver versa
swear  wares wears
arte  rate tare tear
tater  tetra treat
water  water water
aver  rave
ware  wear
yare  year
assets  stases
asset  sates seats
states  tastes
sweats  wastes
saves  vases
east  eats etas sate seat seta teas
state  taste teats
astute  statue
sweat  tawse waste
save  vase
ayes  easy yeas
ate  eat tea
aye  yea
funfair  ruffian
farming  framing
filtration  flirtation
formalin  informal
flatiron  inflator
flair  frail
fallout  outfall
armful  fulmar
foal  loaf
foals  loafs
aloft  float
faults  flatus
afro  faro
oafs  sofa
fart  frat raft
fast  fats
aft  fat
graphology  logography
gaping  paging
algorithms  logarithms
algorithm  logarithm
hassling  lashings slashing
halting  lathing
mashing  shaming
harpings  phrasing
phasing  shaping
garnish  sharing
monograph  phonogram
monographs  phonograms
gnash  hangs
gash  shag
mailings  misalign
ringtail  trailing
amortising  migrations
ingrain  raining
aspiring  pairings praising
airings  arising raising
makings  masking
asking  gaskin
skating  staking takings tasking
allotting  totalling
sallying  signally
laming  lingam malign
lapsing  sapling
aligns  lasing signal
lasting  salting slating staling
salving  slaving
argil  glair grail
arming  margin
migrants  smarting
mating  taming
amigo  imago
spawning  wingspan
attuning  taunting
awning  waning
parroting  prorating
assorting  organists
organist  roasting
gyrations  signatory
strapping  trappings
paring  raping
parings  parsing rasping sparing
parting  prating
pasting  tapings
ratings  staring
stingray  straying
gratin  rating
assigns  sassing
giants  sating
stating  tasting
gal  lag
gallnut  nutgall
gaol  goal
goral  largo
gals  lags slag
groomsman  monograms
among  mango
argon  groan organ
groans  organs sarong
angry  rangy
nags  sang snag
angst  gnats
gnat  tang
argot  gator groat
goat  toga
gaps  gasp
gar  rag
gas  sag
stag  tags
swag  wags
gat  tag
ah  ha
hash  shah
ankh  hank khan
harks  shark
hallows  shallow
loathly  tallyho
halls  shall
halos  shoal
haply  phyla
halt  lath
haul  hula
huntsman  manhunts
harms  marsh
hams  mash sham
shams  smash
haunts  sunhat
pathos  potash
oaths  shoat
outwash  washout
harps  sharp
ash  has
hast  hats
swath  thaws
ashy  hays shay
thaw  what
hay  yah
mutilations  stimulation
limitary  military
positional  spoliation
alpinist  pintails tailspin
insinuator  ruinations
ruination  urination
attrition  titration
akin  kina
littoral  tortilla
altruism  muralist
lain  nail
plains  spinal
plaint  pliant
inaptly  ptyalin
insular  urinals
nails  slain snail
nastily  saintly
apostil  topsail
royalist  solitary
rialto  tailor
viola  voila
lapis  pails
aril  lair liar lira rail rial
lairs  liars liras rails
trails  trials
trail  trial
rival  viral
ails  sail
sails  sisal
alit  tail
imam  maim
mains  minas
mantis  matins
armpits  imparts
armpit  impart
anoints  nations
anoint  nation
inapt  paint
strain  trains
intra  train
saints  stains
issuant  sustain
saint  satin stain
taints  titans
sanity  satiny
taint  titan
twain  witan
apivorous  oviparous
patios  patois
saviour  various
rapist  tapirs
airs  sari
artists  straits tsarist
astir  sitar stair tarsi
artist  strait traits
assist  stasis
waist  waits
jaunt  junta
stalk  talks
lawks  walks
alky  laky
knar  nark rank
stank  tanks
snaky  yanks
oaks  soak
kayo  okay
parks  spark
malls  small
allots  atolls
allows  sallow
swallow  wallows
allot  atoll
alloy  loyal
lam  mal
molar  moral
molars  morals
lamp  palm
lamps  palms psalm
alms  slam
alyssum  asylums
mutual  umlaut
alum  maul
loans  salon
talon  tonal
lawny  wanly
patrols  portals
patrol  portal
orals  solar
ovular  valour
layouts  outlays
ovals  salvo
layout  outlay
alp  lap pal
paltry  partly raptly
alps  laps pals slap
palsy  plays splay
aptly  platy
lasts  salts slats
last  salt slat
awls  laws slaw
lays  slay
alt  lat
awl  law
am  ma
annum  unman
manors  ransom
mason  moans
amount  outman
woman  woman
amours  ramous
mayor  moray
atoms  moats stoma
atom  moat
amp  map
pram  ramp
prams  ramps
amps  maps spam
arm  mar ram
arms  mars rams
marts  smart
swarm  warms
mart  tram
mast  mats
mat  tam
may  yam
aprons  parson
patrons  tarpons
patron  tarpon
arson  sonar
nap  pan
naps  pans snap span
snaps  spans
pawns  spawn
rant  tarn
runway  unwary
nary  yarn
assn  sans
ants  tans
aunts  tunas
nasty  tansy
sawn  swan
ant  tan
aunt  tuna
awn  wan
any  nay
parrot  raptor
oars  soar
assort  roasts
roast  taros
stoats  toasts
oast  oats
stoat  toast
par  rap
pars  raps rasp spar
rasps  spars
parts  sprat strap traps
warps  wraps
prays  raspy spray
part  rapt tarp trap
warp  wrap
asp  pas sap spa
pass  saps spas
pasts  spats
swaps  wasps
past  pats spat taps
paws  swap wasp
pays  spay
apt  pat tap
pay  yap
arts  rats star tars tsar
start  tarts
straw  swart warts
satyr  stray trays
art  rat tar
arty  tray
raw  war war
awry  wary
vast  vats
swat  taws
saw  was
sway  ways yaws
twat  watt
way  yaw
blubber  bubbler
blobbing  bobbling
clobber  cobbler
clobbers  cobblers
bribed  ribbed
bombed  mobbed
glibber  gribble
burbles  lubbers
burble  lubber rubble
bribing  ribbing
bombing  mobbing
gibbons  sobbing
gubbins  subbing
clumber  crumble
combo  coomb
curbs  scrub
buffered  rebuffed
briefed  debrief
begrudges  debuggers
begrudge  buggered debugger
belied  edible
bunkered  debunker
bellowed  bowelled
bedsore  sobered
buttered  rebutted
foreboding  foreboding
begird  bridge
bugled  bulged
budges  debugs
budge  debug
subsidies  subsidise
blinder  brindle
builders  rebuilds
builder  rebuild
bedim  imbed
binder  inbred
brides  debris
bidet  debit
bunked  debunk
bordello  doorbell
blunder  bundler
boulders  doublers
boulder  doubler
blotted  bottled
bedroom  boredom
unburden  unburned
rebounds  suborned
bounder  rebound
burden  burned
bored  robed
doubters  obtrudes
doubter  obtrude redoubt
beds  debs
busted  debuts
bird  drib
birds  dribs
bids  dibs
buds  dubs
bud  dub
beefier  freebie
believers  eversible
impressible  permissible
bemire  bireme
boneless  noblesse
bleep  plebe
bleeps  plebes
observe  obverse verbose
berets  bester
beets  beset
buffering  rebuffing
buffers  rebuffs
buffer  rebuff
brushfire  furbisher refurbish
brief  fibre
briefs  fibres
berthing  brighten
bluegill  gullible
blessing  glibness
begin  being binge
buttering  rebutting
begins  beings binges
bugler  burgle
bugles  bulges
bugle  bulge
booger  goober
publisher  republish
blushes  bushels
mobilises  omissible
blisters  bristles
blister  bristle
timber  timbre
imbrute  terbium
erbium  imbrue
tribunes  turbines
tribune  turbine
bier  brie
bestir  bistre biters tribes
bruise  buries busier rubies
biter  tribe
berk  kerb
lobules  soluble
tumblers  tumbrels
lumbers  rumbles slumber
tumbler  tumbrel
lumber  rumble
stumble  tumbles
bole  lobe
bolsters  lobsters
bolster  lobster
blowers  bowlers
blotter  bottler
blower  bowler
bowels  elbows
below  bowel elbow
bluster  butlers subtler
belts  blest
bluest  bustle sublet subtle
blue  lube
bowmen  enwomb
brume  umber
bonnet  bonnet
bone  ebon
boner  borne
brunet  bunter burnet
booster  reboots
bore  robe
bores  brose robes sober
bowers  bowser browse
bowery  bowyer
bosses  obsess
brutes  buster tubers
burse  rebus rubes
brute  rebut tuber
best  bets
blowfish  fishbowl
blowfly  flyblow
bugling  bulging
biltong  bolting
blotting  bottling
blowing  bowling
bigly  bilgy
bog  gob
bogy  goby
burg  grub
broths  throbs
broth  throb
brush  shrub
bush  hubs
bin  nib
bruin  burin
bins  nibs
bio  obi
biro  brio
bistro  orbits
bolo  lobo
bolos  lobos
blots  bolts
blows  bowls
blot  bolt
blow  bowl
blur  burl
booms  bosom
brunt  burnt
buns  snub
bun  nub
boost  boots
orb  rob
boss  sobs
boy  yob
bur  rub
bury  ruby
busts  stubs
buss  subs
bust  stub tubs
bus  sub
busy  buys
but  tub
concerted  concreted
clutched  declutch
constructed  deconstruct
checkering  rechecking
egocentric  geocentric
checker  recheck
checkers  rechecks
cervices  crevices
connecters  reconnects
concentre  connecter reconnect
choice  echoic
crochets  crotches
cilice  icicle
circle  cleric
circles  clerics
concertino  concretion
concerti  necrotic
clutch  cultch
citric  critic
cockily  colicky
comics  cosmic
crocus  occurs
decreed  receded
discerned  rescinded
decider  decried
credited  directed
decoder  recoded
deduces  seduced
deduce  deuced
deductions  discounted
coddles  scolded
deduct  ducted
discreetness  discreteness
deceiver  received
deselect  selected
predecessor  reprocessed
excepted  expected
decree  recede
decrees  recedes
certified  rectified
congested  decongest
ciphered  decipher
indiscreetly  iridescently
indiscreet  indiscrete iridescent
decompiler  recompiled
decliner  reclined
declines  licensed silenced
pedicel  pedicle
discreetly  discretely
considerer  reconsider
discoverers  rediscovers
discoverer  rediscover
decrepit  depicter
discreet  discrete
certitude  rectitude
excides  excised
compressed  decompress
denouncers  uncensored
denouncer  renounced
encoder  encored
censored  encoders
conserved  conversed
countered  recounted
centred  credent
descent  scented
procedures  reproduces
procedure  reproduce
escorted  sectored
creeds  screed
reduces  rescued secured seducer
deuces  seduce
deuce  educe
defrock  frocked
defocus  focused
crediting  directing
consigned  encodings seconding
dichotomies  dichotomise
chowder  cowherd
cedi  dice iced
indirections  indiscretion
commissioned  decommission
conditioners  reconditions
conditioner  recondition
description  predictions
directions  discretion
indicter  indirect
incised  indices
compiled  complied
include  nuclide
coiled  docile
medicos  miscode
continued  unnoticed
discounter  introduces rediscount reductions
introduce  reduction
cinders  discern rescind
descriptor  predictors
creditors  directors
creditor  director
discover  divorces
predicts  scripted
cider  cried dicer
credits  directs
credit  direct
cited  edict
corked  docker rocked
dockets  stocked
coloureds  decolours
coloured  decolour
curdle  curled
cooped  opcode
procured  producer
coder  cored credo decor
coders  credos scored
coursed  scoured
crudest  crusted
crude  cured
codling  lingcod
conduits  discount
clod  cold
clods  colds scold
cloud  could
condor  cordon
cod  doc
cords  scrod
crud  curd
electives  selective
cleveite  elective
cementer  cerement
senescent  sentences
imperfections  perfectionism
certifiers  rectifiers
certifier  rectifier
confrere  enforcer
confreres  enforcers
perfects  prefects
perfect  prefect
congeries  recognise
excepting  expecting
chestier  heretics
retrench  trencher
cheeps  speech
elections  selection
licenser  reclines silencer
license  silence
licenses  silences
micrometer  micrometre
economies  economise
ecumenist  intumesce
incenses  niceness
erections  resection secretion
ceresin  sincere
insecure  sinecure
enteric  enticer
coteries  esoteric
pierce  recipe
pierces  precise recipes
pieces  specie
ceteris  recites
recite  tierce
corselet  electors selector
elector  electro
cureless  recluses
elects  select
converters  reconverts
converter  reconvert
conserves  converses
conserve  converse
censer  screen
centre  recent
cense  scene
recourses  resources
erectors  secretor
recourse  resource
coverer  recover
percept  precept
creep  crepe
respects  sceptres spectres
respect  sceptre spectre
excepts  expects
except  expect
rescuer  securer
cresset  secrets
rescues  secures
certes  erects secret
cereus  ceruse rescue secure
coiffeur  coiffure
coffers  scoffer
configures  refocusing
chief  fiche
conifers  forensic
certify  rectify
forces  fresco
focuser  refocus
licensing  silencing
contenting  contingent
conserving  conversing
countering  recounting
escorting  sectoring
rescuing  securing
ethicist  theistic
kitchens  thickens
kitchen  thicken
thickest  thickets thickset
chlorite  clothier
chine  niche
christen  snitcher
inches  niches
coheir  heroic
cither  thrice
ethics  itches
chokers  shocker
chore  ochre
hector  troche
chert  retch
chesty  scythe
etch  tech
isocline  silicone
eroticism  isometric
inceptions  inspection
crinite  inciter
iciness  incises
cities  iciest
clinker  crinkle
clinkers  crinkles
stickler  trickles
tickler  trickle
stickle  tickles
corkier  rockier
quickest  quickset
rickets  sticker tickers
ceil  lice
compile  polemic
compiler  complier
compilers  compliers
compiles  complies polemics
colonies  colonise
clients  stencil
cloister  costlier
clipper  cripple
clippers  cripples
communise  encomiums
incomers  sermonic
consumerist  misconstrue
competitor  optometric
cine  nice
centurion  continuer
percussions  supersonics
percussion  supersonic
cosine  oscine
cession  cosines
notices  section
pincer  prince
pincers  princes
incepts  inspect
incept  pectin
cinque  quince
cistern  cretins
centrist  citterns
incest  insect nicest
citreous  outcries
evictors  vortices
cripes  prices
pictures  piecrust
epics  spice
crier  ricer
critters  restrict stricter
crustier  recruits
cruiser  curries
citruses  curtsies
civet  evict
conker  reckon
conkers  reckons
corker  rocker
corkers  rockers
restock  rockets stocker
pecks  speck
consoles  coolness
counsel  unclose
coolers  creosol
closer  cresol
closest  closets
cruelty  cutlery
cruel  lucre ulcer
cutlets  scuttle
costumers  customers
costumer  customer
cone  once
coroner  crooner
coroners  crooners
corners  scorner
censor  crones
construe  counters recounts trounces
counter  recount trounce
cones  scone
contuses  countess
curtness  encrusts
cents  scent
precursor  procurers
corpses  process
copes  copse scope
copses  scopes
cero  core
corers  scorer
crosser  scorers
cores  score
corsets  escorts sectors
courses  sources sucrose
corset  escort rectos scoter sector
course  source
corves  covers
cowers  escrow
covert  vector
curer  recur
cruse  cures curse
crews  screw
cruet  cuter eruct truce
cure  ecru
cuffs  scuff
coif  foci
choking  hocking
cognition  incognito
corking  rocking
gnomonic  oncoming
coming  gnomic
crossing  scorings
coursing  scouring
costing  gnostic
chi  hic
histrionics  trichinosis
kitsch  shtick
chrism  smirch
chin  inch
chit  itch
hocks  shock
churl  lurch
choom  mooch
chum  much
couth  touch
cotillion  octillion
colitis  solicit
licks  slick
nicks  snick
stick  ticks
coil  coli loci
moronic  omicron
crimson  microns
crimps  scrimp
coin  icon
coins  icons scion sonic
tocsin  tonics
incur  runic
optics  topics
optic  picot topic
crisp  scrip
citrus  rictus rustic
cutis  ictus
cit  tic
xciv  xcvi
mocks  smock
conk  nock
cork  rock
corks  rocks
corky  rocky
struck  trucks
stuck  tucks
culls  scull
colons  consol
cool  loco
cowls  scowl
clot  colt
contours  croutons
contour  crouton
corns  scorn
corny  crony
coops  scoop
crop  proc
corps  crops
cost  cots
cows  scow
cusps  scups
cups  cusp scup
crust  curst
crusty  curtsy
cru  cur
diddle  lidded
defiled  fielded
deeding  deigned
endodermis  modernised
demised  misdeed
denied  indeed
indented  intended
underside  undesired
derides  desired resided
delude  eluded
demurred  murdered
depend  pended
denuder  endured
dented  tended
denude  dudeen endued
deposed  seedpod
disulfide  fluidised
drugged  grudged
gilded  glided
deluding  indulged
girdled  griddle
girded  ridged
grounded  underdog
huddler  hurdled
dioxides  oxidised
spindled  splendid
dwindles  swindled
midden  minded
disowned  downside
devoid  voided
doodler  drooled
redound  rounded
dyed  eddy
de  ed
deferment  fermented
deferrer  referred
deregister  registered
greened  reneged
deterge  greeted
wheedle  wheeled
seethed  sheeted
intervened  reinvented
reinserted  tenderiser
eternised  tenderise
lessened  needless
developers  redevelops
developer  redevelop
leered  reeled
deletes  steeled
evened  vendee
deeper  peered
deepest  steeped
deserver  reserved reversed
deserve  severed
forefend  offender
feeding  feigned
defiler  fielder
definer  refined
ferried  refried
deflower  flowered
performed  preformed
deforest  forested fostered
defer  freed
ingredients  tenderising
engirdle  lingered
designer  redesign resigned
designers  redesigns
diverge  grieved
ledges  sledge
edger  greed
edges  sedge
densities  destinies
demultiplex  multiplexed
ensiled  linseed
enlisted  listened
dolerite  loitered
lieder  relied
delivers  silvered slivered
deliver  reviled
diesel  elides
eyelids  seedily
levied  veiled
immersed  simmered
modernises  sermonised
demirep  impeder
premised  simpered
demerit  merited
indenter  intender interned
repined  ripened
denier  reined
interred  trendier
dissenter  residents tiredness
inserted  resident sintered
dewiness  wideness
endive  envied veined
peptides  peptised
reprised  respired
despiser  disperse presides
deputies  deputise
desirer  serried
retired  retried
desire  reside
desires  resides
reissued  residues
disserve  dissever
derives  deviser diverse revised
dieter  retied tiered
lenders  slender
exploder  explored
devolve  evolved
preludes  repulsed
deeply  yelped
demote  emoted
demurrer  murderer
denser  enders resend sender
redness  resends senders
endures  ensured
rented  tender
denture  tenured
nerved  vender
dense  needs
nested  tensed
detent  netted tented
depose  epodes
resorted  restored
devote  vetoed
depress  pressed
erupted  reputed
deeps  speed
deer  reed
dresser  redress
reeds  seder
desserts  stressed
deserts  dessert
desert  deters rested
served  versed
deter  treed
detest  tested
sewed  weeds
duffel  duffle luffed
duffer  ruffed
defiling  fielding
fidget  gifted
fiendish  finished
infidel  infield
infidels  infields
field  filed
wildflower  wildfowler
flirted  trifled
fiend  fined
finder  friend
finders  friends
fired  fried
fisted  sifted
deify  edify
enfold  fondle
underflow  wonderful
flooder  floored
deform  formed
deforms  serfdom
defrost  frosted
feuds  fused
gelding  niggled
geldings  sledging
digger  rigged
dogleg  logged
grudge  rugged
delights  slighted
delight  lighted
impeding  impinged
indenting  intending
desiring  residing ringside
editing  ignited
doglike  godlike
gelid  glide
melding  mingled
mouldering  remoulding
enduringly  underlying
glinted  tingled
eluding  indulge
gloried  godlier
gilder  girdle glider
girdles  gliders
demurring  murdering
grinned  rending
endings  sending
denting  tending
eroding  ignored redoing
engird  ringed
deigns  design signed singed
dewing  winged
dirge  ridge
dirges  ridges
guides  guised
golden  longed
gulden  lunged
lodge  ogled
glossed  godless
grounder  reground
guerdon  undergo
dishonest  hedonists
hider  hired
dervish  shrived
hides  shied
dishes  hissed
hurdle  hurled
hoedown  woodhen
dehorn  horned
enshroud  unhorsed
ephod  hoped
hordes  shored
hosed  shoed
herds  shred
die  ide
delimit  limited
doilies  idolise
dissention  distension
deposition  positioned
editions  sedition
dirtiness  disinters
insisted  tidiness
disunite  unitised
deskill  skilled
kindle  linked
kindles  slinked
dikes  skied
deil  deli idle lied
mildness  mindless
dimple  limped
misled  slimed smiled
swindles  wildness windless
insulted  unlisted
oiled  oldie
despoil  dipoles spoiled
oldies  soiled
dissolute  solitudes
piled  plied
dispel  lisped
idlers  slider
delis  idles sidle slide
sidles  slides
idlest  listed silted tildes
tilde  tiled
tilted  titled
devil  lived
wield  wiled
dewily  widely wieldy
demi  diem dime idem
dimmer  rimmed
midterm  trimmed
dummies  mediums
denim  mined
demotion  motioned
minder  remind
minders  reminds
dumpier  umpired
deism  dimes
demist  misted
demit  timed
indents  intends
dentin  indent intend tinned
rowdiness  wordiness
noised  onside
diners  rinsed snider
strident  tridents
rewinds  winders
intrude  untried
inured  ruined
rewind  winder
dines  snide
dissent  snidest
dentist  stinted
density  destiny
united  untied
widen  wined
index  nixed
dopier  period
disprove  provides
deposits  topsides
deposit  posited topside
rowdier  wordier worried
editors  steroid storied triodes
devisor  devoirs
dowries  rowdies
editor  rioted triode
outside  tedious
dipper  ripped
pride  pried
prides  spider
disputer  stupider
dire  ride
direr  drier rider
driers  riders
stirred  strider
dries  rides sired
dissert  strides
direst  driest stride
dustier  studier
divers  drives
tired  tried
diver  drive rived
weird  wider wired
dies  ides side
disuse  issued
deist  diets edits sited tides
duties  suited
diet  edit tide tied
dive  vide vied
remoulds  smoulder
moulder  remould
models  seldom
lumped  plumed
dole  lode
looped  poodle pooled
loosed  oodles soloed
looted  tooled
loped  poled
resold  solder
doles  soled
loudest  tousled
rustled  strudel
lured  ruled
lewd  weld
demounts  mudstone
demount  mounted
demo  dome mode
moored  roomed
demos  domes modes
mused  sedum
den  end
done  node
snooped  spooned
ponders  respond
drones  snored
dourness  resounds
rodents  snorted
roundest  tonsured unsorted
resound  sounder
downers  wonders
downer  wonder
nodes  nosed
endows  snowed
noted  toned
endow  owned
dozen  zoned
sunders  undress
nursed  sunder
dens  ends send
dents  tends
student  stunted
dunes  nudes
dent  tend
dune  nude
deny  dyne
doe  ode
torpedo  trooped
doper  pored roped
deports  sported
postured  proudest sprouted
deport  ported redtop
dopes  posed
depots  despot posted
depot  opted toped
doer  redo rode
sorted  stored strode
douser  roused soured
dowser  drowse
dotter  rotted
detour  routed toured
drove  roved
dower  rowed
does  dose odes
dote  toed
prudes  pursed
pursued  usurped
drupe  duper prude
dupes  pseud
duster  rudest rusted
dues  sued used
dews  weds
dew  wed
foundling  unfolding
drugging  grudging
gilding  gliding
girding  ridging
dugong  gundog
dishing  shindig
hourdings  shrouding
sidling  sliding
dignity  tidying
dingo  doing
drowsing  wordings
doings  dosing
dingy  dying
gird  grid
girds  grids
dog  god
dogs  gods
humidor  rhodium
hounds  unshod
dink  kind
disk  kids skid
disks  skids
dilly  idyll
idol  lido
rowdily  wordily
idols  lidos solid
lids  slid
dim  mid
upwind  windup
nudity  untidy
disport  tripods
torpid  tripod
drolly  lordly
dolt  told
doom  mood
woodworm  wormwood
dooms  moods
downturn  turndown
don  nod
donor  rondo
donors  rondos
dons  nods
doorpost  doorstop
door  rood
drop  prod
sword  words
dowry  rowdy wordy
doss  sods
dost  dots
dusts  studs
dust  stud
dusty  study
elegies  elegise
geometries  geometrise
energies  energise
impressiveness  permissiveness
entireties  eternities
interpreters  reinterprets
interpreter  reinterpret
enterprises  intersperse
eternise  teensier
peerless  sleepers
levees  sleeve
presenters  represents
presenter  represent
enterer  terrene
entree  eterne
evener  veneer
perverse  preserve
sweeper  weepers
reserves  reverses
reserve  reveres reverse severer
reeves  severe
feeling  fleeing
feigner  freeing reefing
flesher  herself
fresher  refresh
infertile  interfile
verifiers  versifier
ferries  refries
feel  flee
ferule  refuel
feels  flees
forester  fosterer reforest
free  reef
freer  refer
frees  reefs
fester  freest
feet  fete
greening  reneging
lengthier  lightener
theologies  theologise
seething  sheeting
guesthouse  houseguest
inveigler  relieving
intervening  reinventing
keening  kneeing
keeping  peeking
etymologies  etymologise
leering  reeling
gentiles  steeling
eulogies  eulogise
gremmie  immerge
metering  regiment
meeting  teeming
reserving  reversing
gentries  integers steering
integer  treeing
genies  seeing
genre  green
genres  greens
gerent  regent
egrets  greets
egret  greet
housemother  motherhouse
heirless  relishes
nephrite  trephine
herein  inhere
neither  therein
isothere  theories theorise
polythene  telephony
heelpost  pesthole
helves  shelve
homeowners  horsewomen
nowhere  whereon
howsoever  whosoever
hereto  hetero
however  whoever
herpes  sphere
ethers  threes
ether  there three
sheets  theses
sheet  these
impressively  permissively
impressive  permissive
petitioner  repetition
overstrike  strikeover
limestone  milestone
interlope  repletion
lionesses  noiseless
lierne  reline
enlister  listener
ensile  senile
evilness  vileness
setline  tensile
epistler  reptiles
pulverise  repulsive
leister  sterile
relives  servile
levier  relive revile
memories  memorise
empires  emprise premise
emitters  termites
emitter  termite
internet  renitent
isoprene  pioneers
entropies  interpose
persistent  prettiness
inserter  reinsert
nervier  vernier
interests  triteness
esurient  retinues
newsier  wieners
entirety  eternity
retinue  reunite uterine
envier  venire
roisterer  terrorise
peppier  preppie
reprise  respire
preterit  prettier
esquire  queries
quieter  requite
retires  retries terries
resizes  seizers
reviews  viewers
review  viewer
keel  leek
keels  sleek
keen  knee
keynotes  keystone
keep  peek
keeps  peeks
esker  reeks
ekes  seek
eel  lee
respell  speller
resell  seller
resells  sellers
retell  teller
employer  reemploy
pelmet  temple
lenses  lessen
nettles  telnets
nettle  telnet
polyester  proselyte
revolute  truelove
leper  repel
lepers  repels
peels  sleep
leer  reel
leers  reels
settlers  trestles
letters  settler trestle
swelter  wrestle
levers  revels
lever  revel
eels  else lees
selves  vessel
sleet  steel stele
sleety  steely
metronomes  monometers
metronome  monometer
meteor  remote
presume  supreme
merest  meters metres
meter  metre
meets  metes teems
meet  mete teem
opener  reopen
openers  reopens
neper  preen
pertness  presents serpents
present  repents serpent
enters  nester resent tenser
neuters  tenures
neuter  tenure tureen
nerve  never
newer  renew
teens  tense
evens  seven
espressos  repossess
oeuvres  overuse
presser  repress
peers  spree
pesters  presets
pester  peters preset
peruse  purees rupees
puree  rupee
sweep  weeps
seer  sere
esters  resets steers
setters  streets tersest testers
serves  severs verses
ester  reset steer terse trees
retest  setter street tester
serve  sever veers verse
ever  veer
ewer  were
sestet  testes tsetse
suttee  tutees
ewe  wee
fief  fife
fretful  truffle
offset  setoff
firelight  flightier
fighters  freights
fighter  freight
infringe  refining
finger  fringe
ferrying  refrying
fingers  fringes
finisher  refinish
fetishist  shiftiest
flesh  shelf
flimsies  misfiles
felinity  finitely
file  life
filler  refill
fillers  refills
loftier  trefoil
filer  flier lifer rifle
flirter  trifler
filers  fliers lifers rifles
filters  lifters trifles
filter  lifter trifle
files  flies
filets  itself stifle
firestorm  reformist
finer  infer
fitness  infests
feints  finest infest
fire  rife
fires  fries serif
fissure  fussier
sifter  strife
fiery  reify
fluent  unfelt
flower  fowler
fluster  restful
felts  lefts
flues  fuels
felt  left
flue  fuel
frumenty  furmenty
former  reform
formers  reforms
foetor  footer
fore  froe
ferrous  furores
forests  fosters
forest  fortes foster softer
fetor  forte
ferry  fryer refry
fret  tref
wiggler  wriggle
ginger  nigger
gingery  greying
gurgles  slugger
gurgle  lugger
muggers  smugger
houselights  lighthouses
eighths  heights highest
eighth  height
hirelings  relishing
lighters  slighter
hinge  neigh
hewing  whinge
enlisting  listening
silvering  slivering
reliving  reviling
immersing  simmering
premising  simpering
repining  ripening
reprising  respiring springier
persisting  springiest
grittiness  stringiest
gloominess  neologisms
eloign  legion
legions  lingoes
ringlets  sterling
glisten  tingles
glister  gristle
ensigns  sensing
nesting  tensing
netting  tenting
reposing  spongier
ignore  region
resorting  restoring
ignores  regions
erupting  reputing
erring  ringer
reigns  resign signer singer
ingress  resigns signers singers
resting  stinger
strewing  wresting
swinger  wingers
ingest  signet
setting  testing
stewing  twinges
groupie  pirogue
gel  leg
loge  ogle
glovers  grovels
glover  grovel
gluer  gruel
gels  legs
glues  gules
glue  luge
gunter  urgent
grouper  regroup
ergo  goer gore ogre
gores  gorse
grouse  rogues
rogue  rouge
egos  goes
purges  spurge
surge  urges
grey  gyre
guests  gusset
eh  he
philosophies  philosophise
rethinks  thinkers
rethink  thinker
hikers  shriek shrike
hikes  sheik
shiner  shrine
shiners  shrines
perish  reship
heir  hire
heirs  hires shier shire
hisser  shires
withers  writhes
shiver  shrive
whiter  wither writhe
heists  shiest thesis
theist  tithes
white  white withe
housework  workhouse
hells  shell
hostel  hotels
hovels  shovel
helot  hotel
hustlers  ruthless
hurtles  hustler
hustle  sleuth
hormone  moorhen
mothers  smother thermos
mother  thermo
hems  mesh
hornets  shorten thrones
hornet  throne
hones  shone
hewn  when
housetop  pothouse
hooters  shooter
hoppers  shopper
hero  hoer
horse  shore
horses  shores
others  throes
hovers  shrove
shower  whores
other  throe
hoes  hose shoe
hoses  shoes
ethos  those
rhesus  rushes ushers
impressionism  misimpression
priorities  prioritise
elision  lionise
elisions  lionises oiliness
impression  permission
impressions  permissions
emission  simonise
interim  termini
petitions  pointiest
ioniser  ironies noisier
inspire  spinier
unities  unitise
joiner  rejoin
joiners  rejoins
inkle  liken
likens  silken
welkin  winkle
kilter  kirtle
kittles  skittle
irksome  smokier
knottiness  stinkstone
inkers  sinker
stinker  tinkers
knitter  trinket
kippers  skipper
pikes  spike
lei  lie
silently  tinselly
lentil  lintel
stiller  tillers trellis
evilly  lively vilely
lime  mile
monopolies  monopolise
minutely  untimely
milepost  polemist
prelims  simpler
lumpier  plumier
impels  simple
misspelt  simplest
limes  miles slime smile
slimes  smiles
lien  line
insole  lesion
lesions  lioness
elution  outline
lenis  liens lines
enlists  listens
enlist  inlets listen silent tinsel
previously  viperously
loiter  toiler
litotes  toilets
olive  voile
ripples  slipper
stipple  tipples
lisper  perils pliers
splitter  triplets
piles  plies spiel
lire  rile
silvers  slivers
litters  slitter tilters
livers  silver sliver
silvery  slivery
liver  viler
livery  verily
isle  lies
islets  sliest stiles
islet  istle stile tiles
evils  lives veils
evil  live veil vile
immures  rummies
mien  mine
miens  mines
mittens  smitten
minuet  minute
importers  misreport
imposer  promise semipro
isomers  mossier
misroutes  moistures
misroute  moisture
timeouts  titmouse
primes  simper
impress  simpers
impure  umpire
impetus  imputes
impute  uptime
emir  mire rime
mires  miser
misers  remiss
merits  mister remits timers
merit  mitre remit timer
